t=2026-03-08T09:15:41-0400 lvl=info msg="no configuration paths supplied"
t=2026-03-08T09:15:41-0400 lvl=info msg="using configuration at default config path" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml
t=2026-03-08T09:15:41-0400 lvl=info msg="open config file" path=/home/nico/snap/ngrok/350/.config/ngrok/ngrok.yml err=nil
t=2026-03-08T09:15:41-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-08T09:15:41-0400 lvl=warn msg="can't bind default web address, trying alternatives" obj=web addr=127.0.0.1:4040
t=2026-03-08T09:15:41-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4041 allow_hosts=[]
t=2026-03-08T09:15:42-0400 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-08T09:15:42-0400 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-08T09:48:14-0400 lvl=info msg="join connections" obj=join id=0e5c90500bd8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:14-0400 lvl=info msg="join connections" obj=join id=6f333a1beaa2 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=91cf0cb11dfb l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=201a1a4e41b5 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=18f1fc362c3f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=96a748894060 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=6703d6dbf29b l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=283f057a73ae l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=1fd2e8c6049f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:15-0400 lvl=info msg="join connections" obj=join id=9da080692f5d l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=96ee4fb9d5b6 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=86d504524b59 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=3d5321c60890 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=90decc905b2a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=222e115ed1cc l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=7d9bd859a393 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=9e23413c12fe l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:16-0400 lvl=info msg="join connections" obj=join id=63bbb860742f l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=0e24ff454c34 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=0cb3e5eb753a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=53a2ff77d815 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=fd30426b6c9a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=960ad13800fc l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:17-0400 lvl=info msg="join connections" obj=join id=61fdbee0f521 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=7193cbed68f8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=e74be9f60a09 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=c5c19db70391 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=68de6d1e1865 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=7e212dbe0519 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=ea6bf8df0e79 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=eef0389ca233 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:18-0400 lvl=info msg="join connections" obj=join id=453186782519 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=8048edfc281a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=fdfddb3641eb l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=7cc24a3ed0b5 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=e81437372860 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=051647c55e68 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=e8664c80880a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=7f12e8d28651 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:19-0400 lvl=info msg="join connections" obj=join id=dba799f2aa5a l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=c27a19e28505 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=b1b7638edef8 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=9e219aafe84e l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=a7de5d5cb356 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=f210507f7e2e l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:20-0400 lvl=info msg="join connections" obj=join id=25cda23faaf7 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=924c1c408d26 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=adb462ffbf06 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
t=2026-03-08T09:48:21-0400 lvl=info msg="join connections" obj=join id=f74662025a85 l=127.0.0.1:8000 r=[2600:1900:0:3500::f00]:54097
